nome                                        | form_type  | tipo
Princess Cruise - Star Princess             | cruzeiro   | cruzeiro
Princess Cruise - Sun Princess              | cruzeiro   | cruzeiro
Princess Sky                                | cruzeiro   | cruzeiro
PUNTA CANA                                  | todos      | destino
PUNTA CANA                                  | todos      | destino
PUNTA CANA                                  | todos      | destino
PUNTA DEL ESTE                              | todos      | destino
Puntacana                                   | pacote     | destino
Puntacana                                   | pacote     | destino
Puntadeleste                                | pacote     | destino
Recife                                      | pacote     | destino
Recife                                      | pacote     | destino
Recife                                      | pacote     | destino
RECIFE                                      | todos      | destino
RECIFE                                      | todos      | destino
RECIFE                                      | todos      | destino
RECIFE12_VIL9UB                             | todos      | card
Resort All Inclusive Arcobaleno             | pacote     | destino
RIO DE JANEIRO                              | todos      | destino
Rio De Janiero                              | pacote     | destino
Royal - Oasis Of The Seas                   | cruzeiro   | cruzeiro
Royal Caribbean - Adventure Of The Seas     | cruzeiro   | cruzeiro
Royal Caribbean - Adventure Of The Seas     | cruzeiro   | cruzeiro
Royal Caribbean - Allure Of The Seas        | cruzeiro   | cruzeiro
Royal Caribbean - Allure Of The Seas        | cruzeiro   | cruzeiro
Royal Caribbean - Anthem Of The Seas        | cruzeiro   | cruzeiro
Royal Caribbean - Anthem Of The Seas        | cruzeiro   | cruzeiro
Royal Caribbean - Anthem Of The Seas2 (2)   | cruzeiro   | cruzeiro
Royal Caribbean - Enchantment Of The Seas   | cruzeiro   | cruzeiro
Royal Caribbean - Enchantment Of The Seas   | cruzeiro   | cruzeiro
Royal Caribbean - Explorer Of The Seas      | cruzeiro   | cruzeiro
Royal Caribbean - Explorer Of The Seas      | cruzeiro   | cruzeiro
Royal Caribbean - Freedom Of The Seas       | cruzeiro   | cruzeiro
Royal Caribbean - Freedom Of The Seas       | cruzeiro   | cruzeiro
Royal Caribbean - Freedom Of The Seas       | cruzeiro   | cruzeiro
Royal Caribbean - Harmony Of The Seas       | cruzeiro   | cruzeiro
Royal Caribbean - Harmony Of The Seas       | cruzeiro   | cruzeiro
Royal Caribbean - Harmony Of The Seas       | cruzeiro   | cruzeiro
Royal Caribbean - Icon Of The Seas          | cruzeiro   | cruzeiro
Royal Caribbean - Icon Of The Seas          | cruzeiro   | cruzeiro
Royal Caribbean - Icon Of The Seas          | cruzeiro   | cruzeiro
